substanceID,invivo,ames,vitro_mamm_muta,vitro_mamm_clast
r0001,-1,1,1,1
r0005,1,1,1,1
r0010,1,1,1,1
r0011,1,1,1,1
r0014,1,1,-1,-1
r0015,1,1,1,1
r0023,1,1,1,1
r0025,-1,1,-1,1
r0028,1,1,1,1
r0037,1,1,1,1
r0045,-1,1,1,1
r0048,-1,1,-1,1
r0051,1,1,1,1
r0052,-1,1,-1,1
r0057,-1,1,-1,1
r0059,1,1,1,1
r0060,1,1,1,1
r0068,1,1,1,1
r0071,1,1,1,1
r0073,-1,1,-1,1
r0077,-1,1,1,1
r0079,-1,1,-1,-1
r0081,-1,1,-1,-1
r0084,1,1,1,1
r0087,1,1,1,1
r0088,1,1,1,1
r0091,1,1,1,1
r0094,-1,1,1,1
r0098,-1,1,1,1
r0103,1,1,1,1
r0104,-1,1,-1,1
r0105,-1,1,-1,1
r0106,1,1,1,1
r0125,1,1,1,1
r0127,-1,1,1,1
r0128,-1,1,1,-1
r0131,1,1,1,1
r0135,1,1,1,1
r0146,-1,1,1,-1
r0152,1,1,1,1
r0156,-1,1,1,1
r0159,-1,1,1,1
r0160,-1,1,1,1
r0164,1,1,1,1
r0176,1,1,1,1
r0196,-1,1,1,1
r0197,1,1,1,1
r0215,1,1,1,1
r0216,1,1,1,1
r0233,1,1,1,1
r0238,1,1,1,1
r0245,1,1,1,1
r0248,-1,1,1,1
r0251,1,1,1,1
r0262,1,1,1,1
r0263,-1,1,1,1
r0265,1,1,1,1
r0266,1,1,1,1
r0269,1,1,1,1
r0271,1,1,1,1
r0273,1,1,1,1
r0277,-1,1,-1,-1
r0278,-1,1,-1,-1
r0295,1,1,1,1
r0298,1,1,1,-1
r0299,1,1,1,1
r0310,1,1,1,1
r0311,1,1,1,1
r0317,-1,1,-1,-1
r0321,-1,1,-1,1
r0322,-1,1,1,1
r0323,-1,1,-1,1
r0325,1,1,1,1
r0326,-1,1,1,1
r0327,-1,1,1,1
r0330,-1,1,-1,-1
r0335,1,1,1,1
r0337,1,1,1,1
r0340,1,1,1,1
r0341,1,1,1,1
r0344,-1,1,-1,-1
r0348,-1,1,1,1
r0352,1,1,1,1
r0354,-1,1,1,1
r0357,1,1,1,1
r0361,1,1,1,1
r0362,1,1,1,1
r0363,-1,1,1,1
r0365,-1,1,1,1
r0367,-1,1,1,1
r0370,-1,1,-1,1
r0372,-1,1,-1,-1
r0374,-1,1,1,1
r0375,-1,1,1,1
r0381,1,1,1,1
r0382,1,1,1,1
r0385,-1,1,1,1
r0387,-1,1,-1,-1
r0388,-1,1,1,1
r0389,-1,1,-1,1
r0395,-1,1,1,1
r0396,-1,1,-1,1
r0400,1,1,1,1
r0404,-1,1,1,1
r0410,1,1,1,1
r0411,1,1,1,1
r0413,-1,1,-1,1
r0420,1,1,1,1
r0425,1,1,1,1
r0435,-1,1,1,1
r0441,1,1,1,1
r0445,1,1,1,-1
r0448,1,1,1,1
r0449,-1,1,1,1
r0452,1,1,1,1
r0455,1,1,1,1
r0466,1,1,1,1
r0468,1,1,1,1
r0485,1,1,-1,1
r0496,1,1,1,1
r0503,-1,1,1,-1
r0504,1,1,1,1
r0506,1,1,1,1
r0514,1,1,1,1
r0517,1,1,1,1
r0521,1,1,1,1
r0524,1,1,1,1
r0528,1,1,1,1
r0529,-1,1,-1,1
r0534,1,1,1,1
r0537,1,1,1,1
r0549,1,1,1,1
r0550,1,1,1,1
r0560,1,1,1,1
r0563,-1,1,-1,1
r0566,1,1,1,1
r0581,1,1,1,1
r0582,-1,1,1,1
r0588,-1,1,1,-1
r0591,-1,1,-1,-1
r0603,-1,1,-1,1
r0604,1,1,1,1
r0608,1,1,1,1
r0611,-1,1,1,-1
r0613,-1,1,1,1
r0614,-1,1,1,1
r0629,-1,1,-1,-1
r0633,1,1,1,1
r0635,1,1,1,1
r0638,-1,1,-1,1
r0641,1,1,1,1
r0644,1,1,1,1
r0655,-1,1,-1,1
r0660,-1,1,1,1
r0665,1,1,1,1
r0666,1,1,1,1
r0669,-1,1,-1,-1
r0675,1,1,1,1
r0686,1,1,1,1
r0687,-1,1,1,1
r0696,1,-1,1,1
r0697,1,-1,1,1
r0699,1,-1,-1,1
r0713,1,-1,1,1
r0718,1,-1,1,1
r0719,1,-1,-1,1
r0723,1,-1,1,1
r0739,1,-1,1,1
r0745,1,-1,1,1
r0746,1,-1,-1,1
r0749,1,-1,1,-1
r0750,1,-1,1,1
r0752,-1,-1,1,1
r0753,-1,-1,1,1
r0755,1,-1,-1,1
r0761,-1,-1,-1,1
r0762,1,-1,1,-1
r0763,-1,-1,-1,-1
r0771,-1,-1,1,1
r0781,1,-1,1,1
r0784,1,-1,1,1
r0794,1,-1,1,1
r0795,1,-1,1,1
r0799,1,-1,-1,-1
r0804,1,-1,1,1
r0808,1,-1,1,1
r0810,-1,-1,1,1
r0811,1,-1,-1,-1
r0819,1,-1,1,1
r0825,-1,-1,1,-1
r0826,-1,-1,-1,-1
r0827,-1,-1,-1,-1
r0842,-1,-1,1,-1
r0843,1,-1,1,-1
r0847,1,-1,1,-1
r0848,-1,-1,-1,-1
r0856,-1,-1,1,1
r0857,-1,-1,1,-1
r0860,1,-1,1,1
r0862,1,-1,1,1
r0867,-1,-1,1,1
r0881,1,-1,1,1
r0887,-1,-1,-1,1
r0891,-1,-1,1,1
r0898,1,-1,1,1
r0904,-1,-1,-1,-1
r0907,-1,-1,-1,-1
r0908,-1,-1,1,1
r0909,-1,-1,1,1
r0910,-1,-1,-1,1
r0911,-1,-1,-1,-1
r0912,1,-1,1,1
r0914,-1,-1,-1,1
r0915,-1,-1,-1,1
r0918,-1,-1,-1,-1
r0920,-1,-1,-1,-1
r0921,-1,-1,-1,-1
r0923,-1,-1,-1,-1
r0924,-1,-1,-1,-1
r0926,1,-1,1,1
r0927,1,-1,-1,1
r0928,1,-1,1,1
r0933,-1,-1,-1,-1
r0934,-1,-1,-1,-1
r0935,-1,-1,-1,-1
r0937,-1,-1,-1,-1
r0939,-1,-1,-1,-1
r0940,-1,-1,-1,-1
r0941,-1,-1,-1,1
r0942,-1,-1,-1,1
r0943,-1,-1,-1,-1
r0944,-1,-1,-1,-1
r0946,-1,-1,-1,-1
r0947,-1,-1,-1,-1
r0949,-1,-1,-1,-1
r0950,-1,-1,-1,-1
r0951,-1,-1,-1,-1
r0953,-1,-1,-1,-1
r0954,-1,-1,-1,-1
r0955,-1,-1,-1,-1
r0956,-1,-1,-1,-1
r0957,-1,-1,-1,-1
r0959,1,-1,1,1
r0962,1,-1,1,1
r0964,1,-1,1,1
r0966,1,-1,1,1
r0978,1,-1,-1,1
r0981,-1,-1,-1,-1
r0982,1,-1,1,1
r0992,1,-1,-1,-1
r0994,-1,-1,-1,-1
r1003,-1,-1,1,1
r1004,1,-1,-1,-1
r1007,-1,-1,-1,-1
r1011,-1,-1,-1,1
r1012,-1,-1,-1,-1
r1014,-1,-1,-1,-1
r1016,-1,-1,1,-1
r1018,1,-1,-1,-1
r1020,-1,-1,-1,1
r1022,1,-1,1,1
r1026,1,-1,1,1
r1030,-1,-1,1,-1
r1032,1,-1,-1,-1
r1033,-1,-1,1,1
r1034,-1,-1,-1,-1
r1041,1,-1,1,1
r1043,-1,-1,-1,-1
r1044,-1,-1,-1,1
r1045,-1,-1,-1,1
r1048,1,-1,1,1
r1049,-1,-1,1,1
r1059,-1,-1,1,1
r1064,-1,-1,-1,-1
r1070,1,-1,-1,1
r1071,1,-1,1,1
r1084,-1,-1,1,-1
r1159,-1,-1,1,-1
r1230,-1,-1,-1,-1
r1241,-1,-1,-1,1
r1267,-1,-1,-1,-1
r1451,-1,-1,-1,1
r1511,-1,-1,-1,-1
r1540,-1,-1,-1,-1
r1575,-1,-1,-1,1
r1576,-1,1,-1,-1
r1585,-1,-1,1,1
r1592,-1,-1,1,-1
r1614,-1,-1,-1,1
r1682,-1,-1,-1,-1
r1684,-1,-1,-1,-1
r1739,-1,-1,-1,1
r1740,-1,-1,-1,1
r1844,-1,-1,-1,-1
r1922,-1,-1,-1,1
r1933,-1,-1,1,1
r1938,-1,-1,1,1
r1952,-1,-1,-1,1
r1955,-1,-1,-1,1
r1959,-1,-1,-1,1
r1978,-1,1,-1,1
r1982,-1,1,-1,1
r1983,-1,1,1,1
r2021,-1,-1,-1,1
r2022,-1,-1,-1,1
r2048,-1,-1,1,-1
r2070,-1,-1,-1,-1
r2150,1,1,-1,1
r2189,-1,-1,-1,-1
